Time;X;Y;Z
33.4670;-848.0663;-120.5070;120.2529
33.5677;-848.0663;-120.5070;120.2529
33.6681;-848.0663;-120.5070;120.2529
33.7750;-848.0663;-120.5070;120.2529
33.8755;-848.0663;-120.5070;120.2529
33.9764;-848.0663;-120.5070;120.2529
34.0768;-848.0663;-120.5070;120.2529
34.1800;-848.0663;-120.5070;120.2529
34.2804;-848.0663;-120.5070;120.2529
34.3808;-848.0663;-120.5070;120.2529
34.4814;-848.0663;-120.5070;120.2529
34.5877;-848.0663;-120.5070;120.2529
34.6883;-848.0663;-120.5070;120.2529
34.7888;-848.0663;-120.5070;120.2529
34.8891;-848.0663;-120.5070;120.2529
34.9896;-848.0663;-120.5070;120.2529
35.0919;-848.0663;-120.5070;120.2529
35.1923;-848.0663;-120.5070;120.2529
35.2927;-848.0663;-120.5070;120.2529
35.3931;-848.0663;-120.5070;120.2529
35.4936;-848.0663;-120.5070;120.2529
35.5940;-848.0663;-120.5070;120.2529
35.6957;-848.0663;-120.5070;120.2529
35.7961;-848.0663;-120.5070;120.2529
35.8966;-848.0663;-120.5070;120.2529
35.9969;-848.0663;-120.5070;120.2529
36.0988;-848.0663;-120.5070;120.2529
36.2292;-848.0663;-120.5070;120.2529
36.3297;-848.0663;-120.5070;120.2529
36.4301;-848.0663;-120.5070;120.2529
36.5304;-848.0663;-120.5070;120.2529
36.6317;-848.0663;-120.5070;120.2529
36.7550;-848.0663;-120.5070;120.2529
36.8558;-848.0663;-120.5070;120.2529
